step 00952/01905 (49.97%) | loss: 3.480265 | lrm: 0.78 | dt: 874.71ms | tok/sec: 299,691 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 53 | total time: 14.39m | eta: 14.6m
step 00953/01905 (50.03%) | loss: 3.445712 | lrm: 0.78 | dt: 887.37ms | tok/sec: 295,416 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 54 | total time: 14.41m | eta: 14.5m
step 00954/01905 (50.08%) | loss: 3.436112 | lrm: 0.78 | dt: 878.48ms | tok/sec: 298,404 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 54 | total time: 14.42m | eta: 14.5m
step 00955/01905 (50.13%) | loss: 3.453507 | lrm: 0.78 | dt: 897.36ms | tok/sec: 292,126 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 55 | total time: 14.44m | eta: 14.5m
step 00956/01905 (50.18%) | loss: 3.465129 | lrm: 0.78 | dt: 873.91ms | tok/sec: 299,968 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 55 | total time: 14.45m | eta: 14.5m
step 00957/01905 (50.24%) | loss: 3.462195 | lrm: 0.78 | dt: 893.11ms | tok/sec: 293,517 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 56 | total time: 14.47m | eta: 14.5m
[2026-08-11 17:03:39] OK   tokenizer -> gdrive:/tokenizer
step 00958/01905 (50.29%) | loss: 3.451720 | lrm: 0.78 | dt: 870.51ms | tok/sec: 301,139 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 56 | total time: 14.48m | eta: 14.5m
step 00959/01905 (50.34%) | loss: 3.435223 | lrm: 0.78 | dt: 914.64ms | tok/sec: 286,607 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 57 | total time: 14.50m | eta: 14.5m
step 00960/01905 (50.39%) | loss: 3.446598 | lrm: 0.78 | dt: 890.31ms | tok/sec: 294,440 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 57 | total time: 14.51m | eta: 14.4m
[2026-08-11 17:03:42] OK   base_checkpoints -> gdrive:/base_checkpoints
step 00961/01905 (50.45%) | loss: 3.439526 | lrm: 0.77 | dt: 888.96ms | tok/sec: 294,887 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 58 | total time: 14.53m | eta: 14.4m
step 00962/01905 (50.50%) | loss: 3.437659 | lrm: 0.77 | dt: 879.85ms | tok/sec: 297,940 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 58 | total time: 14.54m | eta: 14.4m
step 00963/01905 (50.55%) | loss: 3.416102 | lrm: 0.77 | dt: 899.71ms | tok/sec: 291,366 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 59 | total time: 14.56m | eta: 14.4m
step 00964/01905 (50.60%) | loss: 3.438705 | lrm: 0.77 | dt: 866.58ms | tok/sec: 302,505 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 59 | total time: 14.57m | eta: 14.4m
step 00965/01905 (50.66%) | loss: 3.449226 | lrm: 0.77 | dt: 898.22ms | tok/sec: 291,849 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 60 | total time: 14.59m | eta: 14.4m
step 00966/01905 (50.71%) | loss: 3.453382 | lrm: 0.77 | dt: 1023.67ms | tok/sec: 256,082 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 60 | total time: 14.60m | eta: 14.3m
step 00967/01905 (50.76%) | loss: 3.448746 | lrm: 0.77 | dt: 889.95ms | tok/sec: 294,559 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 61 | total time: 14.62m | eta: 14.3m
step 00968/01905 (50.81%) | loss: 3.426492 | lrm: 0.77 | dt: 866.59ms | tok/sec: 302,500 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 61 | total time: 14.63m | eta: 14.3m
step 00969/01905 (50.87%) | loss: 3.441657 | lrm: 0.77 | dt: 896.17ms | tok/sec: 292,517 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 62 | total time: 14.65m | eta: 14.3m
step 00970/01905 (50.92%) | loss: 3.439937 | lrm: 0.77 | dt: 904.20ms | tok/sec: 289,917 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 62 | total time: 14.66m | eta: 14.3m
step 00971/01905 (50.97%) | loss: 3.433157 | lrm: 0.77 | dt: 886.46ms | tok/sec: 295,719 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 63 | total time: 14.68m | eta: 14.3m
step 00972/01905 (51.02%) | loss: 3.450165 | lrm: 0.77 | dt: 870.21ms | tok/sec: 301,242 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 63 | total time: 14.69m | eta: 14.2m
step 00973/01905 (51.08%) | loss: 3.450664 | lrm: 0.77 | dt: 876.53ms | tok/sec: 299,070 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 63 | total time: 14.71m | eta: 14.2m
step 00974/01905 (51.13%) | loss: 3.430358 | lrm: 0.76 | dt: 911.78ms | tok/sec: 287,507 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 64 | total time: 14.72m | eta: 14.2m
step 00975/01905 (51.18%) | loss: 3.451755 | lrm: 0.76 | dt: 881.46ms | tok/sec: 297,397 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 64 | total time: 14.74m | eta: 14.2m
step 00976/01905 (51.23%) | loss: 3.459156 | lrm: 0.76 | dt: 897.40ms | tok/sec: 292,116 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 65 | total time: 14.75m | eta: 14.2m
step 00977/01905 (51.29%) | loss: 3.467123 | lrm: 0.76 | dt: 871.86ms | tok/sec: 300,673 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 65 | total time: 14.77m | eta: 14.2m
step 00978/01905 (51.34%) | loss: 3.448699 | lrm: 0.76 | dt: 887.86ms | tok/sec: 295,254 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 66 | total time: 14.78m | eta: 14.2m
step 00979/01905 (51.39%) | loss: 3.427857 | lrm: 0.76 | dt: 939.32ms | tok/sec: 279,077 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 66 | total time: 14.80m | eta: 14.1m
step 00980/01905 (51.44%) | loss: 3.438196 | lrm: 0.76 | dt: 897.80ms | tok/sec: 291,986 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 67 | total time: 14.81m | eta: 14.1m
step 00981/01905 (51.50%) | loss: 3.437694 | lrm: 0.76 | dt: 859.65ms | tok/sec: 304,943 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 67 | total time: 14.83m | eta: 14.1m
step 00982/01905 (51.55%) | loss: 3.410359 | lrm: 0.76 | dt: 875.52ms | tok/sec: 299,414 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 68 | total time: 14.84m | eta: 14.1m
step 00983/01905 (51.60%) | loss: 3.418103 | lrm: 0.76 | dt: 872.65ms | tok/sec: 300,400 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 68 | total time: 14.86m | eta: 14.1m
step 00984/01905 (51.65%) | loss: 3.442351 | lrm: 0.76 | dt: 892.75ms | tok/sec: 293,638 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 69 | total time: 14.87m | eta: 14.1m
step 00985/01905 (51.71%) | loss: 3.457088 | lrm: 0.76 | dt: 866.99ms | tok/sec: 302,361 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 69 | total time: 14.89m | eta: 14.0m
step 00986/01905 (51.76%) | loss: 3.443858 | lrm: 0.76 | dt: 876.34ms | tok/sec: 299,135 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 70 | total time: 14.90m | eta: 14.0m
step 00987/01905 (51.81%) | loss: 3.459020 | lrm: 0.75 | dt: 862.48ms | tok/sec: 303,941 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 70 | total time: 14.91m | eta: 14.0m
step 00988/01905 (51.86%) | loss: 3.471336 | lrm: 0.75 | dt: 868.75ms | tok/sec: 301,749 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 71 | total time: 14.93m | eta: 14.0m
step 00989/01905 (51.92%) | loss: 3.457165 | lrm: 0.75 | dt: 862.39ms | tok/sec: 303,973 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 71 | total time: 14.94m | eta: 14.0m
step 00990/01905 (51.97%) | loss: 3.427610 | lrm: 0.75 | dt: 876.07ms | tok/sec: 299,225 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 72 | total time: 14.96m | eta: 14.0m
step 00991/01905 (52.02%) | loss: 3.425318 | lrm: 0.75 | dt: 862.82ms | tok/sec: 303,820 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 72 | total time: 14.97m | eta: 13.9m
step 00992/01905 (52.07%) | loss: 3.431443 | lrm: 0.75 | dt: 894.84ms | tok/sec: 292,949 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 73 | total time: 14.99m | eta: 13.9m
step 00993/01905 (52.13%) | loss: 3.436270 | lrm: 0.75 | dt: 904.20ms | tok/sec: 289,919 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 73 | total time: 15.00m | eta: 13.9m
step 00994/01905 (52.18%) | loss: 3.442114 | lrm: 0.75 | dt: 923.31ms | tok/sec: 283,918 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 74 | total time: 15.02m | eta: 13.9m
step 00995/01905 (52.23%) | loss: 3.429138 | lrm: 0.75 | dt: 866.01ms | tok/sec: 302,702 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 74 | total time: 15.03m | eta: 13.9m
step 00996/01905 (52.28%) | loss: 3.420928 | lrm: 0.75 | dt: 870.13ms | tok/sec: 301,268 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 75 | total time: 15.05m | eta: 13.9m
step 00997/01905 (52.34%) | loss: 3.451563 | lrm: 0.75 | dt: 863.80ms | tok/sec: 303,479 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 75 | total time: 15.06m | eta: 13.9m
step 00998/01905 (52.39%) | loss: 3.422157 | lrm: 0.75 | dt: 875.08ms | tok/sec: 299,567 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 76 | total time: 15.08m | eta: 13.8m
step 00999/01905 (52.44%) | loss: 3.450968 | lrm: 0.75 | dt: 889.77ms | tok/sec: 294,620 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 76 | total time: 15.09m | eta: 13.8m
[2026-08-11 17:04:43] OK   tokenizer -> gdrive:/tokenizer
